# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg,trace_count
0,100000,10.9875,15.0998,17.9125,17.7000,1.6250,92.2375,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.7250,991.9500,991.9625,100.8750,87.5000,0.0000,1.6125,315.1250,66.7500,31.6250,61.3125,38.6875,46.2500,52.5000,4.0113,30.8100,-1.0000,979.8750,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
1,100000,9.7000,12.3691,15.6000,21.2500,1.5250,92.4750,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3250,1022.2000,1022.2125,21.2500,87.5000,0.0000,2.5250,309.3750,99.7500,37.2500,56.2500,43.7500,44.3750,51.8750,3.8750,23.2912,0.6291,1324.1250,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
2,100000,10.0500,12.3556,16.1750,21.2875,1.5250,91.8125,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.7000,1022.3000,1022.3250,14.7500,87.5000,0.0000,2.7000,313.2500,74.6250,29.8750,52.8000,47.2000,41.8750,51.8750,3.6588,20.5075,0.6190,1659.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
3,100000,10.9000,14.6310,18.0429,14.0000,1.6286,90.7143,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8143,1022.2286,1022.2857,17.2857,100.0000,0.0000,3.6857,366.4286,125.8571,45.5714,49.9143,50.0857,50.3571,52.5000,4.0743,22.7671,0.6230,2028.8571,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
4,100000,10.1143,12.5004,16.6286,14.0571,1.6143,91.5571,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.4429,1022.2857,1022.3000,15.7143,85.7143,0.0000,4.5000,373.4286,136.0000,48.1429,50.8286,49.1714,46.7857,52.5000,3.9343,20.9843,0.5864,2224.1429,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
5,100000,9.6000,11.5851,15.7000,14.0571,1.6143,92.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4143,1022.3286,1022.3571,13.5714,100.0000,0.0000,4.3000,376.0000,120.2857,44.4286,50.5571,49.4429,48.9286,52.5000,3.7557,20.5900,0.6713,2323.8571,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
6,100000,9.7000,11.8806,16.0571,13.8143,1.6000,91.3000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8714,1022.3571,1022.3571,13.5714,100.0000,0.0000,4.3714,382.4286,142.2857,47.7143,47.5571,52.4429,46.7857,52.5000,3.8371,18.6943,0.5720,2150.5714,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
7,100000,9.4143,11.9891,15.7000,13.7000,1.6286,91.2286,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9000,1022.2143,1022.4286,14.0000,100.0000,0.0000,4.4429,374.2857,113.0000,44.8571,46.3857,53.6143,46.7857,52.5000,3.9629,26.0600,0.6073,1866.7143,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
8,100000,10.4000,13.1459,17.2571,14.1714,1.6000,90.6000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5429,1021.8714,1022.0429,25.7143,100.0000,0.0000,4.4714,365.5714,107.1429,40.2857,46.7286,53.2714,48.2143,52.5000,4.0143,30.8029,0.5907,2048.4286,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
9,100000,10.0500,14.1320,16.6667,11.4333,1.6333,91.0667,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5000,1022.3333,1022.3333,21.1667,100.0000,0.0000,5.9667,407.8333,132.1667,45.5000,46.8500,53.1500,47.5000,52.5000,3.4883,17.8400,0.5003,2069.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
