# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg,trace_count
32,100000,13.3500,20.4085,24.6500,12.3000,1.8500,87.0500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5500,1020.6500,1020.6500,109.5000,100.0000,0.0000,9.8000,650.0000,99.0000,61.0000,47.5500,52.4500,52.5000,52.5000,5.4550,25.0000,0.7140,1533.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
33,100000,13.1000,18.6965,23.7500,12.6500,1.8500,87.7000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.4500,1012.3500,1012.5500,206.5000,100.0000,0.0000,8.2000,591.0000,85.5000,44.0000,48.0500,51.9500,52.5000,52.5000,4.6850,23.4350,0.4405,1313.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
34,100000,14.1500,25.6230,27.3000,11.6500,1.9000,86.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.2000,1017.1000,1017.1000,159.0000,100.0000,0.0000,6.8500,515.0000,53.5000,36.0000,48.8500,51.1500,52.5000,52.5000,5.1950,20.3150,0.4690,1262.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
35,100000,11.2500,16.8475,20.3500,11.9500,1.8000,89.3000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8500,1020.3000,1020.3500,108.0000,100.0000,0.0000,6.9000,480.5000,42.5000,30.5000,47.2500,52.7500,52.5000,52.5000,3.9700,22.0700,0.5195,1088.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
36,100000,14.3500,25.4395,25.8500,11.4000,1.8000,86.6500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.7500,1021.3000,1021.3500,84.5000,100.0000,0.0000,8.7000,545.0000,92.0000,52.5000,48.3000,51.7000,52.5000,52.5000,4.8050,25.3900,0.3015,1295.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
37,100000,12.9000,22.2660,23.0000,11.2500,1.7500,88.0500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.8500,1022.0000,1022.0000,50.5000,100.0000,0.0000,7.8500,499.0000,90.5000,47.0000,48.0500,51.9500,52.5000,52.5000,4.7300,21.4850,0.6175,1517.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
38,100000,13.7500,23.7220,24.9500,11.3500,1.8500,87.1000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.7500,1019.3500,1019.4000,122.5000,100.0000,0.0000,8.4000,555.5000,112.0000,48.0000,48.3000,51.7000,52.5000,52.5000,4.1500,18.3600,0.6250,1625.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
39,100000,10.4500,14.9430,19.2000,12.3500,1.9000,90.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,1019.8500,1019.8500,118.5000,100.0000,0.0000,8.7500,527.5000,82.5000,39.0000,47.0500,52.9500,50.0000,52.5000,4.0800,25.0000,0.5825,1133.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
40,100000,10.9500,16.4515,20.1000,12.4000,1.8500,89.2500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6500,1018.5000,1018.6000,204.5000,100.0000,0.0000,7.2500,549.0000,66.5000,37.0000,46.0000,54.0000,52.5000,52.5000,4.2800,22.0750,0.4905,1176.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
41,100000,14.1000,21.0945,26.9500,13.2500,1.9000,86.1500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.7500,874.5500,874.5500,1083.5000,100.0000,0.0000,9.9500,629.0000,76.5000,35.5000,48.7000,51.3000,52.5000,52.5000,4.5050,21.8750,0.3740,1577.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
42,100000,11.1000,21.4470,21.8000,10.1000,2.0000,89.1000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.7000,1021.8000,1021.8000,66.0000,100.0000,0.0000,10.4000,139.0000,105.0000,38.0000,49.9000,50.1000,52.5000,52.5000,3.9200,21.8800,0.2670,678.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
43,100000,11.4000,25.8580,22.6000,8.8000,2.0000,88.9000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.6000,1022.0000,1022.0000,53.0000,100.0000,0.0000,8.9000,129.0000,89.0000,43.0000,51.1000,48.9000,52.5000,52.5000,4.5300,18.7500,0.5030,1468.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
44,100000,13.0000,23.1640,22.3000,9.6000,1.7000,88.9000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.1000,1020.2000,1020.2000,199.0000,100.0000,0.0000,8.3000,247.0000,85.0000,46.0000,50.3000,49.7000,52.5000,52.5000,3.9800,23.8300,0.1050,670.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
45,100000,16.0000,33.9930,25.7000,7.6000,1.6000,88.1000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,1014.9000,1018.3000,344.0000,100.0000,0.0000,10.9000,473.0000,281.0000,160.0000,53.6000,46.4000,52.5000,52.5000,6.6700,71.8800,0.1170,701.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
46,100000,7.5000,17.5490,15.1000,8.6000,2.0000,92.3000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9000,1009.4000,1009.4000,571.0000,100.0000,0.0000,10.8000,397.0000,143.0000,43.0000,49.0000,51.0000,47.5000,52.5000,3.5100,37.5000,0.1270,475.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
