# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,18.2,19.802,33.7,17.0,1.9,82.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,975.5,975.5,108,100.0,0.0,0.8,76,0,2,48.7,51.3,52.5,52.5,3.44,16.02,-1.000,2649,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,16.7,18.187,30.0,16.5,1.8,83.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,1021.9,1021.9,8,100.0,0.0,1.2,77,1,1,46.0,54.0,52.5,52.5,3.08,18.75,1.000,4393,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,18.4,18.721,32.0,17.1,1.7,82.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,1021.8,1021.8,8,100.0,0.0,1.9,80,2,1,44.3,55.7,52.5,52.5,3.06,12.89,0.037,5853,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,15.2,16.512,28.7,17.4,1.9,84.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,1022.1,1022.1,5,100.0,0.0,1.5,75,1,1,46.2,53.8,52.5,52.5,3.08,42.19,0.037,4861,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,16.7,16.930,29.9,17.7,1.8,83.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,1022.0,1022.1,9,100.0,0.0,1.7,64,1,1,44.6,55.4,52.5,52.5,2.87,11.72,0.393,6163,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,16.6,16.976,30.3,17.9,1.8,82.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1022.1,1022.2,3,100.0,0.0,1.8,76,1,1,41.2,58.8,52.5,52.5,2.72,9.77,1.000,6103,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,19.0,20.501,34.1,16.6,1.8,79.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,1021.8,1022.1,4,100.0,0.0,1.5,98,2,1,39.9,60.1,52.5,52.5,2.89,17.58,0.037,6490,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,17.5,22.569,32.6,14.4,1.9,79.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,1021.9,1022.1,5,100.0,0.0,1.5,87,1,1,38.1,61.9,52.5,52.5,2.92,15.62,0.093,4153,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,18.9,20.667,34.1,16.5,1.8,79.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,1021.8,1022.2,5,100.0,0.0,1.6,86,1,1,40.7,59.3,52.5,52.5,3.09,14.84,1.000,5316,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,18.9,19.513,32.2,16.5,1.7,82.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,1021.9,1022.2,4,100.0,0.0,2.2,84,1,2,44.1,55.9,52.5,52.5,2.76,9.38,0.393,6067,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,17.6,18.763,31.1,16.6,1.8,80.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,1022.1,1022.4,2,100.0,0.0,1.8,108,2,1,38.7,61.3,52.5,52.5,2.86,17.97,0.037,5110,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,16.9,18.401,30.1,16.3,1.8,82.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,1022.1,1022.4,3,100.0,0.0,1.6,92,1,1,41.5,58.5,52.5,52.5,2.97,37.89,0.093,4895,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,17.4,18.942,31.1,16.4,1.8,81.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,1022.1,1022.4,2,100.0,0.0,1.7,91,1,1,39.1,60.9,52.5,52.5,2.78,14.84,1.000,4872,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,100000,17.3,17.563,30.3,17.2,1.8,82.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,1022.1,1022.5,4,100.0,0.0,1.9,76,1,1,40.9,59.1,52.5,52.5,2.64,10.55,0.393,5098,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,100000,18.7,19.807,33.2,16.7,1.8,80.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,1022.0,1022.4,3,100.0,0.0,1.8,102,2,3,40.0,60.0,52.5,52.5,2.79,18.75,0.039,5499,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,100000,17.2,20.145,31.9,15.8,1.9,81.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1022.1,1022.4,5,100.0,0.0,1.6,97,1,1,41.5,58.5,52.5,52.5,3.22,29.30,0.037,4351,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,100000,17.4,17.622,30.4,17.2,1.8,83.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,1022.2,1022.5,1,100.0,0.0,1.9,81,1,1,44.1,55.9,52.5,52.5,2.64,11.33,0.393,4848,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,100000,15.6,18.879,29.3,15.5,1.9,81.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,1022.2,1022.5,2,100.0,0.0,1.6,101,1,1,36.8,63.2,52.5,52.5,2.96,16.80,0.393,3973,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,100000,19.7,20.345,34.7,17.1,1.8,80.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,1021.8,1022.3,2,100.0,0.0,2.2,96,1,1,42.6,57.4,52.5,52.5,3.03,12.11,0.393,5437,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,100000,17.7,20.943,32.4,15.5,1.8,80.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,1021.9,1022.3,4,100.0,0.0,1.7,114,2,2,39.2,60.8,52.5,52.5,3.04,22.27,0.037,4396,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,100000,17.9,18.421,29.3,15.9,1.6,82.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,1022.1,1022.4,2,100.0,0.0,1.5,81,1,1,40.8,59.2,52.5,52.5,2.85,12.11,0.093,4655,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
