# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,11.5,14.743,20.3,13.8,1.8,91.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,972.5,972.5,165,100.0,0.0,0.6,450,12,8,58.9,41.1,52.5,52.5,4.54,27.73,-1.000,958,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,9.7,12.643,17.3,13.7,1.8,91.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,1022.4,1022.4,12,100.0,0.0,1.3,424,11,5,53.3,46.7,52.5,52.5,4.25,20.31,0.864,992,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,9.4,12.125,16.7,13.8,1.8,91.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1022.4,1022.4,11,100.0,0.0,2.0,427,16,4,51.1,48.9,52.5,52.5,4.30,21.48,0.850,1297,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,8.8,11.240,15.6,13.8,1.8,92.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,1022.6,1022.6,9,100.0,0.0,2.5,437,14,7,49.7,50.3,52.5,52.5,4.03,20.70,0.984,1372,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,6.6,8.557,11.9,14.0,1.8,93.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,1022.6,1022.6,10,100.0,0.0,2.3,422,18,7,48.1,51.9,52.5,52.5,3.39,14.84,0.535,1071,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,7.5,9.596,13.4,14.0,1.8,92.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1022.7,1022.7,9,100.0,0.0,2.6,415,13,5,47.3,52.7,52.5,52.5,3.47,14.45,0.566,1402,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,8.5,11.092,15.1,13.6,1.8,91.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1022.6,1022.7,3,100.0,0.0,2.9,417,15,5,44.9,55.1,52.5,52.5,3.67,15.62,0.820,1234,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,7.0,9.034,12.6,14.0,1.8,92.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1022.7,1022.7,6,100.0,0.0,2.7,432,16,5,42.5,57.5,52.5,52.5,3.11,13.67,0.973,1212,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,7.0,9.110,12.7,13.9,1.8,93.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,1022.7,1022.7,4,100.0,0.0,2.9,437,18,8,45.3,54.7,52.5,52.5,3.14,12.50,0.986,1092,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,5.5,7.019,10.0,14.2,1.8,94.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,1022.8,1022.8,3,100.0,0.0,2.8,428,21,8,41.4,58.6,52.5,52.5,2.39,7.81,0.590,1053,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,9.3,11.983,16.5,13.8,1.8,91.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,1022.5,1022.5,10,100.0,0.0,2.6,451,15,4,47.1,52.9,52.5,52.5,3.63,32.03,0.554,1402,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,8.9,11.277,15.7,13.9,1.8,91.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,1022.6,1022.6,10,100.0,0.0,2.7,436,17,4,46.1,53.9,52.5,52.5,3.67,18.36,0.883,1358,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,8.3,10.787,14.7,13.6,1.8,91.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,1022.7,1022.7,3,100.0,0.0,2.8,443,16,5,43.7,56.3,52.5,52.5,3.81,18.75,0.975,1339,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,100000,8.6,11.164,15.3,13.7,1.8,91.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1022.7,1022.7,8,100.0,0.0,2.8,457,14,9,45.5,54.5,52.5,52.5,3.63,12.50,0.962,1318,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,100000,6.2,7.960,11.1,13.9,1.8,93.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,1022.8,1022.8,5,100.0,0.0,2.7,450,16,4,43.5,56.5,52.5,52.5,3.04,16.41,0.603,1001,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,100000,7.4,9.708,13.2,13.6,1.8,92.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1022.7,1022.8,3,100.0,0.0,2.6,452,17,4,43.3,56.7,52.5,52.5,3.42,14.06,0.609,1231,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,100000,6.9,9.005,12.3,13.7,1.8,92.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,1022.8,1022.8,5,100.0,0.0,2.7,456,13,3,41.6,58.4,52.5,52.5,3.31,13.28,0.993,1179,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,100000,6.1,7.910,11.0,13.9,1.8,93.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,1022.8,1022.8,4,100.0,0.0,2.7,428,22,3,42.0,58.0,52.5,52.5,2.87,9.38,0.991,1063,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,100000,7.4,9.396,13.1,14.0,1.8,92.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,1022.7,1022.8,11,100.0,0.0,2.5,457,22,9,41.1,58.9,52.5,52.5,3.11,14.45,0.840,1186,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,100000,7.2,9.057,12.8,14.2,1.8,92.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,1022.7,1022.8,6,100.0,0.0,2.5,463,16,4,42.9,57.1,52.5,52.5,3.06,13.28,0.525,1255,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,100000,6.8,8.619,12.1,14.1,1.8,93.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,1022.8,1022.8,2,100.0,0.0,2.8,438,19,6,42.6,57.4,52.5,52.5,3.19,19.53,0.533,1041,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,100000,7.3,9.438,13.1,13.9,1.8,92.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,1022.8,1022.8,3,100.0,0.0,2.7,492,15,2,42.4,57.6,52.5,52.5,3.01,14.06,0.853,1370,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,100000,4.9,6.395,8.9,14.0,1.8,94.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,1022.8,1022.9,3,100.0,0.0,2.7,420,23,1,41.3,58.7,47.5,52.5,2.35,13.28,0.955,960,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,100000,6.5,8.385,11.7,14.0,1.8,93.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,1022.8,1022.8,2,100.0,0.0,2.8,477,21,2,41.7,58.3,52.5,52.5,2.98,16.80,0.968,1199,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,100000,7.6,9.798,13.5,13.8,1.8,92.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,1022.7,1022.7,5,100.0,0.0,3.1,478,20,3,43.1,56.9,52.5,52.5,3.62,12.89,0.608,1274,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,100000,5.7,7.338,10.3,14.0,1.8,94.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1022.8,1022.8,5,100.0,0.0,3.3,440,15,3,41.9,58.1,52.5,52.5,2.80,11.72,0.525,1040,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,100000,5.8,7.369,10.4,14.1,1.8,93.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1022.8,1022.8,2,100.0,0.0,3.0,467,30,4,40.1,59.9,52.5,52.5,2.63,11.72,0.844,1129,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
