# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,12.1,15.580,21.3,13.7,1.8,91.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,975.1,975.1,115,100.0,0.0,6.5,583,13,8,58.4,41.6,52.5,52.5,4.73,28.91,-1.000,859,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,9.6,12.461,17.1,13.7,1.8,92.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1022.4,1022.4,11,100.0,0.0,9.1,561,11,5,53.5,46.5,52.5,52.5,4.00,19.14,0.864,906,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,10.3,13.210,18.1,13.7,1.8,91.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,1022.4,1022.4,12,100.0,0.0,10.2,616,16,4,51.1,48.9,52.5,52.5,4.45,22.66,0.850,1333,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,8.5,10.835,15.1,13.9,1.8,92.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,1022.6,1022.6,7,100.0,0.0,11.2,608,15,7,50.3,49.7,52.5,52.5,3.97,19.53,0.984,1248,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,7.0,8.977,12.5,13.9,1.8,93.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,1022.6,1022.6,8,100.0,0.0,12.2,614,19,7,49.1,50.9,52.5,52.5,3.38,19.14,0.535,1121,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,7.2,9.215,12.9,14.0,1.8,93.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,1022.7,1022.7,3,100.0,0.0,11.5,555,21,5,47.3,52.7,52.5,52.5,3.76,17.97,0.566,1225,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,8.7,11.465,15.5,13.5,1.8,91.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1022.6,1022.6,10,100.0,0.0,12.6,572,11,5,45.2,54.8,52.5,52.5,3.59,16.02,0.820,1236,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,7.1,9.140,12.7,13.9,1.8,92.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,1022.7,1022.7,3,100.0,0.0,11.7,604,18,5,42.8,57.2,52.5,52.5,3.20,16.41,0.973,1146,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,7.4,9.637,13.3,13.8,1.8,92.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,1022.7,1022.7,9,100.0,0.0,12.0,590,20,8,45.2,54.8,52.5,52.5,3.72,17.97,0.986,1191,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,5.7,7.263,10.3,14.2,1.8,94.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,1022.8,1022.8,3,100.0,0.0,11.0,595,18,8,42.4,57.6,52.5,52.5,2.66,14.84,0.590,1064,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
