# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,8.6,23.652,11.9,5.0,1.4,96.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,992.6,992.8,112,100.0,0.0,2.6,491,90,68,67.0,33.0,52.5,52.5,3.54,39.45,-1.000,552,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,4.9,13.081,6.9,5.2,1.4,97.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1022.8,1022.8,3,100.0,0.0,3.3,395,84,57,59.1,40.9,32.5,52.5,2.27,14.45,0.695,633,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,3.5,9.376,4.9,5.2,1.4,97.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1022.9,1022.9,2,100.0,0.0,3.8,368,73,65,57.5,42.5,17.5,52.5,1.77,19.92,0.976,423,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,4.8,12.424,6.5,5.2,1.4,97.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1022.9,1022.9,1,100.0,0.0,4.7,382,65,68,54.9,45.1,37.5,52.5,2.10,16.80,0.828,668,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,3.0,8.207,4.2,5.1,1.4,97.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1022.9,1022.9,1,100.0,0.0,6.6,367,81,63,50.0,50.0,17.5,52.5,1.58,10.94,0.946,400,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,3.8,9.505,5.3,5.5,1.4,97.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1022.9,1022.9,0,0.0,0.0,9.5,379,79,67,52.4,47.6,27.5,52.5,2.09,14.84,0.803,532,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,2.4,6.364,3.4,5.3,1.4,98.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1022.9,1023.0,2,100.0,0.0,8.2,346,63,59,50.1,49.9,17.5,52.5,1.52,10.16,0.868,354,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,3.3,8.503,4.5,5.3,1.4,97.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1022.9,1022.9,0,0.0,0.0,5.2,371,73,62,49.1,50.9,22.5,52.5,2.10,16.02,0.814,538,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,3.2,8.171,4.5,5.5,1.4,97.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1022.9,1022.9,1,100.0,0.0,5.6,344,70,64,54.1,45.9,17.5,52.5,2.05,22.66,0.841,463,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,3.8,9.795,5.3,5.4,1.4,97.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1022.9,1022.9,1,100.0,0.0,6.0,441,107,73,47.5,52.5,27.5,52.5,2.19,13.67,0.628,541,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
