# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg,trace_count
0,100000,11.4625,15.6834,18.6000,17.6375,1.6125,91.8750,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.9250,990.7750,990.8125,93.6250,100.0000,0.0000,5.0625,471.5000,66.2500,31.6250,61.1125,38.8875,46.2500,52.5000,4.0825,30.0787,-1.0000,888.6250,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
1,100000,10.0875,12.8444,16.1750,21.1875,1.5250,92.2625,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3000,1022.2250,1022.2375,14.3750,87.5000,0.0000,8.1125,465.5000,97.7500,37.2500,55.0000,45.0000,45.6250,52.5000,3.8512,23.9250,0.6291,1311.6250,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
2,100000,9.9500,12.4506,16.1250,21.2500,1.5250,91.7500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.2000,1022.3125,1022.3500,11.8750,87.5000,0.0000,9.4000,464.6250,72.0000,29.8750,49.3750,50.6250,41.8750,51.2500,3.6350,19.6775,0.6190,1558.7500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
3,100000,11.0714,14.8007,18.3000,13.9714,1.6286,90.6429,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7000,1022.1571,1022.3143,15.7143,100.0000,0.0000,11.9714,566.2857,125.2857,45.5714,49.6857,50.3143,50.3571,52.5000,4.1986,24.5000,0.6230,1651.1429,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
4,100000,10.5000,12.9831,17.2000,13.9857,1.6143,91.1429,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8286,1022.3286,1022.4000,12.7143,100.0000,0.0000,13.9286,559.4286,138.5714,48.1429,49.1143,50.8857,47.5000,52.5000,3.9271,18.5843,0.5864,1899.8571,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
5,100000,9.6429,11.7904,15.8286,14.0286,1.6143,91.7857,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4571,1022.3857,1022.4714,11.8571,85.7143,0.0000,13.8143,548.8571,128.7143,44.4286,49.5571,50.4429,48.9286,52.5000,3.8671,21.6529,0.6713,1983.1429,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
6,100000,10.0143,12.3207,16.5571,13.7429,1.6000,90.9286,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7429,1022.4143,1022.4857,13.1429,100.0000,0.0000,14.2714,567.1429,143.5714,47.7143,46.2000,53.8000,47.5000,52.5000,3.8829,20.3700,0.5720,1774.8571,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
7,100000,9.6857,12.3293,16.0857,13.6143,1.6143,90.9000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.7714,1022.3429,1022.4714,11.1429,85.7143,0.0000,13.3857,547.7143,112.5714,44.8571,45.5143,54.4857,48.2143,52.5000,3.9471,27.6800,0.6073,1516.1429,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
8,100000,10.2857,13.0661,17.1429,14.2143,1.6286,90.7571,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0286,1022.0000,1022.2000,23.7143,100.0000,0.0000,15.4286,539.8571,104.0000,40.2857,47.3000,52.7000,47.5000,52.5000,4.0100,24.6100,0.5907,1557.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
9,100000,10.1500,14.3018,16.8500,11.4167,1.6333,90.9333,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3833,1022.3833,1022.4500,17.3333,83.3333,0.0000,18.1000,593.0000,133.8333,45.5000,46.3833,53.6167,48.3333,52.5000,3.4533,16.3400,0.5003,1675.8333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
