# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,11.0,22.930,18.2,7.9,1.6,92.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,1006.4,1006.4,26,100.0,0.0,8.6,616,88,64,56.3,43.7,52.5,52.5,4.83,32.81,-1.000,335,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,7.8,16.215,12.5,7.7,1.6,94.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1022.6,1022.6,1,100.0,0.0,14.0,442,81,39,54.4,45.6,52.5,52.5,4.00,26.95,0.266,436,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,9.5,20.093,14.5,7.2,1.5,93.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,1022.4,1022.4,11,100.0,0.0,17.2,411,81,25,54.3,45.7,52.5,52.5,4.33,25.39,0.318,352,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,11.6,23.726,19.5,8.2,1.7,91.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,1021.7,1021.7,26,100.0,0.0,19.0,732,265,79,57.0,43.0,52.5,52.5,4.53,28.91,0.041,716,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,8.3,15.455,14.5,9.4,1.8,93.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1022.4,1022.4,12,100.0,0.0,25.2,702,310,89,53.5,46.5,52.5,52.5,4.37,24.22,0.706,1103,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,6.6,12.319,11.8,9.5,1.8,94.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,1022.4,1022.4,14,100.0,0.0,24.6,725,327,86,52.6,47.4,52.5,52.5,4.37,32.81,0.697,979,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,6.7,12.473,11.9,9.5,1.8,94.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,1022.6,1022.6,12,100.0,0.0,23.4,754,316,92,50.6,49.4,52.5,52.5,4.24,17.58,0.625,1122,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,5.6,11.080,9.8,8.8,1.7,95.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1022.6,1022.6,3,100.0,0.0,22.4,613,255,85,51.2,48.8,52.5,52.5,3.90,25.78,0.626,748,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,9.3,18.798,15.0,8.0,1.6,92.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,1021.0,1021.0,67,100.0,0.0,30.5,737,122,61,49.4,50.6,52.5,52.5,4.28,35.16,0.070,333,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,7.3,15.046,11.4,7.6,1.6,93.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1022.7,1022.7,16,100.0,0.0,32.7,446,85,28,46.9,53.1,52.5,52.5,3.52,19.53,0.154,592,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
