# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,10.8,4.637,12.9,27.9,1.2,94.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,1002.0,1002.0,13,100.0,0.0,0.5,187,9,4,58.4,41.6,52.5,52.5,5.13,29.69,-1.000,1121,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,11.8,5.437,14.6,26.9,1.2,92.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,1022.4,1022.4,0,0.0,0.0,1.0,185,10,6,51.3,48.7,52.5,52.5,4.89,24.61,0.218,1488,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,12.2,5.982,16.5,27.6,1.4,90.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,1021.9,1022.2,2,100.0,0.0,1.0,208,17,7,41.9,58.1,52.5,52.5,6.41,34.38,0.242,2269,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,12.1,5.656,16.9,29.8,1.4,89.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,1021.8,1022.6,2,100.0,0.0,0.8,174,11,0,39.7,60.3,52.5,52.5,5.98,46.48,0.872,3186,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,10.7,4.866,13.7,28.2,1.3,92.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,1022.4,1022.7,0,0.0,0.0,1.1,180,9,5,42.1,57.9,52.5,52.5,6.06,24.22,0.136,3111,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,10.9,4.724,12.9,27.4,1.2,93.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,1022.5,1022.6,2,100.0,0.0,1.2,214,10,7,51.2,48.8,52.5,52.5,5.25,19.53,0.229,3265,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,9.6,4.361,11.8,27.2,1.2,92.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,1022.7,1022.7,2,100.0,0.0,1.2,184,9,6,35.9,64.1,52.5,52.5,5.32,21.09,0.204,2577,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,12.0,5.442,15.8,29.0,1.3,91.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1021.5,1022.5,3,100.0,0.0,1.2,223,13,11,43.1,56.9,52.5,52.5,5.79,50.00,0.192,3266,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,11.3,5.170,16.1,31.1,1.4,90.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,1021.8,1022.7,1,100.0,0.0,1.5,153,7,2,40.9,59.1,52.5,52.5,6.39,43.36,0.128,3524,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

