# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg,trace_count
18,100000,11.5167,14.9172,19.8500,13.1000,1.7333,89.2167,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7167,1005.8167,1005.8167,170.6667,100.0000,0.0000,11.4833,502.8333,120.8333,38.0000,45.9833,54.0167,52.5000,52.5000,3.7417,19.0117,0.5190,2093.6667,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
19,100000,10.4200,13.3296,18.6400,14.0600,1.7600,89.7200,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3200,1022.4000,1022.4200,16.2000,80.0000,0.0000,9.2600,416.6000,54.2000,26.4000,45.7000,54.3000,52.5000,52.5000,3.9800,17.7360,0.3778,1889.8000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5
20,100000,10.5600,15.2508,18.6400,12.8600,1.7600,90.0800,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.4600,1022.2800,1022.3000,21.6000,80.0000,0.0000,11.0600,408.2000,49.2000,25.6000,46.6800,53.3200,52.5000,52.5000,3.9820,21.4080,0.3246,1875.2000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5
21,100000,11.8800,19.1658,20.0200,12.3000,1.7000,89.0400,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8800,1021.4200,1021.4400,65.8000,100.0000,0.0000,10.3600,464.4000,70.2000,30.6000,45.4400,54.5600,52.5000,52.5000,3.9240,20.0000,0.4400,1997.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5
22,100000,10.9250,16.1160,20.2500,13.1250,1.8500,88.4250,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3750,1022.2750,1022.2750,22.5000,100.0000,0.0000,10.5250,443.7500,32.0000,22.5000,43.1750,56.8250,50.0000,52.5000,3.3400,25.9750,0.5787,1705.2500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4
23,100000,11.1250,13.8918,20.0500,14.4250,1.8250,88.8750,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.9000,1022.0500,1022.2000,20.5000,100.0000,0.0000,8.4500,454.0000,35.2500,21.2500,44.8500,55.1500,52.5000,52.5000,3.6600,27.6350,0.5100,2158.7500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4
24,100000,11.7667,17.3353,21.3333,13.0333,1.8333,89.0333,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.3333,1020.8667,1020.8667,81.3333,100.0000,0.0000,12.8333,672.6667,46.0000,33.3333,48.0333,51.9667,52.5000,52.5000,4.6933,24.2200,0.4387,1178.6667,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
25,100000,9.6333,13.8660,18.0000,13.3667,1.9000,90.6000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.9333,1020.8667,1020.8667,75.0000,100.0000,0.0000,11.3667,666.6667,58.3333,37.0000,47.5333,52.4667,49.1667,52.5000,4.3400,27.8667,0.4810,1269.3333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
26,100000,9.9000,14.2233,18.5333,13.4667,1.8667,90.4333,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3333,1019.5000,1021.4000,51.6667,100.0000,0.0000,9.9333,599.3333,45.0000,32.6667,47.0333,52.9667,50.8333,52.5000,3.9700,26.5633,0.6580,1218.3333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
27,100000,11.2000,19.6077,20.8000,12.5000,1.8000,89.4333,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.5000,1013.4000,1014.3000,191.0000,100.0000,0.0000,10.9667,670.6667,59.3333,46.3333,47.6333,52.3667,50.8333,52.5000,4.2433,38.6733,0.6727,1246.3333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3
