# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,17.1,19.042,30.1,15.8,1.8,86.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,960.5,960.5,346,100.0,0.0,4.6,715,53,47,55.5,44.5,52.5,52.5,5.78,24.22,-1.000,1638,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,17.3,19.733,30.0,15.2,1.7,85.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1020.5,1020.5,110,100.0,0.0,5.6,750,83,74,52.1,47.9,52.5,52.5,6.43,24.61,0.678,2228,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,15.8,17.982,27.5,15.3,1.7,86.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,1021.1,1021.1,75,100.0,0.0,5.8,757,89,70,50.9,49.1,52.5,52.5,5.32,26.56,0.883,2223,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,14.4,16.905,25.2,14.9,1.7,87.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,1021.5,1021.5,61,100.0,0.0,7.2,706,75,64,49.1,50.9,52.5,52.5,5.11,26.17,0.828,2002,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,15.9,18.085,27.6,15.3,1.7,86.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,1021.2,1021.2,71,100.0,0.0,7.6,784,82,74,50.5,49.5,52.5,52.5,5.53,22.66,0.665,2161,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,13.8,15.889,24.4,15.4,1.8,87.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,1021.5,1021.5,56,100.0,0.0,7.3,754,88,71,48.8,51.2,52.5,52.5,5.03,21.48,0.697,2045,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,14.9,16.739,25.9,15.5,1.7,86.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,1021.3,1021.3,62,100.0,0.0,7.0,762,81,64,48.7,51.3,52.5,52.5,5.79,26.17,0.778,2000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,14.9,16.718,25.9,15.5,1.7,86.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,1021.4,1021.4,66,100.0,0.0,7.0,802,75,70,49.0,51.0,52.5,52.5,5.76,22.27,0.923,2174,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,14.8,16.521,25.9,15.7,1.7,86.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,1021.4,1021.4,65,100.0,0.0,7.9,788,84,53,48.1,51.9,52.5,52.5,5.51,28.91,0.618,1994,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,14.9,16.340,25.9,15.9,1.7,86.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,1021.4,1021.4,74,100.0,0.0,8.1,832,91,52,48.8,51.2,52.5,52.5,5.03,17.97,0.601,2060,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,12.5,14.076,22.5,16.0,1.8,88.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,1021.9,1021.9,43,100.0,0.0,6.9,809,93,71,49.1,50.9,52.5,52.5,4.61,19.92,0.911,1984,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,13.2,14.931,23.6,15.8,1.8,87.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,1021.7,1021.7,48,100.0,0.0,7.4,855,90,63,48.8,51.2,52.5,52.5,5.06,23.05,0.872,1908,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,14.4,16.340,25.2,15.4,1.7,87.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,1021.4,1021.4,67,100.0,0.0,7.7,852,87,67,48.9,51.1,52.5,52.5,5.82,24.22,0.648,1843,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,100000,16.1,17.951,28.1,15.7,1.8,85.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,1021.2,1021.2,74,100.0,0.0,7.8,899,98,60,48.1,51.9,52.5,52.5,5.41,22.27,0.635,2057,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,100000,15.4,17.267,26.7,15.5,1.7,86.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,1021.2,1021.2,79,100.0,0.0,7.6,893,93,61,49.1,50.9,52.5,52.5,5.96,27.34,0.862,2054,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,100000,12.9,14.387,23.3,16.2,1.8,87.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,1021.9,1021.9,53,100.0,0.0,7.5,821,83,51,47.6,52.4,52.5,52.5,4.74,24.61,0.928,2020,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,100000,14.3,16.171,25.3,15.7,1.8,87.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,1021.4,1021.4,63,100.0,0.0,8.6,902,89,63,48.7,51.3,52.5,52.5,4.58,26.56,0.532,1814,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,100000,14.8,16.754,26.0,15.5,1.8,86.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,1021.4,1021.4,57,100.0,0.0,8.8,911,83,58,48.4,51.6,52.5,52.5,5.51,24.61,0.521,1984,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,100000,15.3,17.222,26.9,15.6,1.8,86.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,1021.3,1021.3,72,100.0,0.0,9.0,920,78,59,48.3,51.7,52.5,52.5,5.44,26.17,0.932,2085,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,100000,12.6,14.150,22.6,16.0,1.8,88.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,1021.9,1021.9,45,100.0,0.0,8.4,809,85,59,49.2,50.8,52.5,52.5,4.47,21.48,0.870,1687,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,100000,11.2,12.761,20.4,16.0,1.8,89.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,1022.0,1022.0,56,100.0,0.0,8.5,723,84,51,48.8,51.2,52.5,52.5,4.65,22.27,0.666,1595,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,100000,10.3,11.630,18.8,16.1,1.8,90.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,1022.2,1022.2,36,100.0,0.0,7.4,730,92,45,48.5,51.5,52.5,52.5,4.45,21.88,0.642,1754,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,100000,14.1,16.000,24.8,15.5,1.8,86.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,1021.6,1021.6,62,100.0,0.0,8.7,924,78,60,47.0,53.0,52.5,52.5,5.16,27.73,0.751,1867,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,100000,12.9,14.562,22.8,15.6,1.8,88.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,1021.8,1021.8,47,100.0,0.0,9.5,892,76,61,48.1,51.9,52.5,52.5,4.86,26.56,0.909,1971,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,100000,14.8,16.994,26.0,15.3,1.8,86.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1021.5,1021.5,45,100.0,0.0,9.1,956,78,66,47.2,52.8,52.5,52.5,5.28,25.39,0.614,1835,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,100000,14.8,16.646,26.0,15.6,1.8,86.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,1021.4,1021.4,56,100.0,0.0,8.9,977,84,72,47.8,52.2,52.5,52.5,5.36,25.39,0.630,1916,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,100000,14.5,16.501,25.4,15.4,1.8,87.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,1021.4,1021.4,47,100.0,0.0,8.9,948,79,66,48.6,51.4,52.5,52.5,5.70,28.91,0.943,2087,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,100000,12.6,14.206,22.0,15.5,1.8,88.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1021.8,1021.8,58,100.0,0.0,8.2,899,92,69,47.7,52.3,52.5,52.5,5.39,19.14,0.916,1668,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,100000,14.1,15.886,24.9,15.7,1.8,87.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,1021.6,1021.6,58,100.0,0.0,9.1,939,88,67,47.9,52.1,52.5,52.5,4.93,17.58,0.706,1656,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,100000,14.5,16.532,25.4,15.3,1.8,86.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,1021.4,1021.4,74,100.0,0.0,9.8,946,84,70,47.2,52.8,52.5,52.5,5.68,24.61,0.626,1772,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
