# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,17.1,18.627,32.3,17.3,1.9,84.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,979.0,979.0,110,100.0,0.0,0.8,80,0,2,50.5,49.5,52.5,52.5,3.14,17.97,-1.000,2438,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,16.5,17.969,29.7,16.5,1.8,83.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,1022.0,1022.0,10,100.0,0.0,1.3,86,1,1,45.5,54.5,52.5,52.5,3.12,17.97,1.000,4013,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,19.9,20.219,34.3,17.0,1.7,81.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,1021.7,1021.7,2,100.0,0.0,1.0,93,2,1,46.7,53.3,52.5,52.5,3.09,12.89,0.037,5867,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,15.8,17.131,29.4,17.2,1.9,83.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1022.1,1022.1,2,100.0,0.0,1.2,86,1,1,44.3,55.7,52.5,52.5,2.65,11.33,0.037,4860,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,17.3,17.559,30.9,17.6,1.8,83.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,1021.9,1021.9,2,100.0,0.0,1.0,72,1,1,45.1,54.9,52.5,52.5,2.92,12.50,0.393,6338,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,17.2,17.526,31.2,17.8,1.8,82.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,1022.0,1022.0,7,100.0,0.0,0.9,84,1,1,42.6,57.4,52.5,52.5,2.67,9.38,1.000,6736,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,17.9,19.258,32.4,16.8,1.8,80.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,1021.9,1021.9,3,100.0,0.0,1.1,106,2,1,40.2,59.8,52.5,52.5,2.91,11.72,0.037,6342,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,17.3,22.317,32.1,14.4,1.9,79.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,1022.0,1022.1,5,100.0,0.0,1.7,99,1,1,36.5,63.5,52.5,52.5,2.70,25.00,0.093,4349,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,19.2,21.089,34.7,16.4,1.8,79.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,1021.8,1021.8,3,100.0,0.0,1.1,97,1,1,40.8,59.2,52.5,52.5,2.72,25.39,1.000,5957,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,19.1,19.719,32.4,16.4,1.7,81.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,1021.9,1021.9,3,100.0,0.0,1.2,93,1,2,43.3,56.7,52.5,52.5,2.95,12.11,0.393,6856,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
