# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,18.3,19.884,34.2,17.2,1.9,83.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,979.5,979.5,121,100.0,0.0,1.0,70,0,2,51.1,48.9,52.5,52.5,3.26,20.70,-1.000,2329,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,18.9,20.570,33.4,16.2,1.8,82.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,1021.6,1021.6,5,100.0,0.0,1.5,78,1,1,47.7,52.3,52.5,52.5,3.05,23.05,1.000,5110,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,19.3,19.657,33.5,17.0,1.7,81.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,1021.7,1021.7,3,100.0,0.0,0.9,85,2,1,46.0,54.0,52.5,52.5,3.09,14.06,0.037,7198,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,15.4,16.720,28.8,17.2,1.9,83.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,1022.2,1022.2,1,100.0,0.0,1.2,80,1,1,44.0,56.0,52.5,52.5,2.66,10.16,0.037,5780,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,16.1,16.300,29.1,17.8,1.8,84.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,1022.1,1022.1,5,100.0,0.0,0.7,70,2,1,45.2,54.8,52.5,52.5,2.88,12.11,0.393,6779,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,16.2,16.547,29.9,18.1,1.8,83.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,1022.1,1022.1,2,100.0,0.0,1.1,78,1,1,44.0,56.0,52.5,52.5,2.74,11.72,1.000,7125,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,16.9,18.258,31.3,17.1,1.8,81.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,1022.1,1022.1,4,100.0,0.0,1.1,96,2,1,42.2,57.8,52.5,52.5,3.04,12.11,0.037,6571,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,17.1,22.079,31.7,14.3,1.9,79.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,1022.1,1022.2,9,100.0,0.0,2.9,93,1,1,35.0,65.0,52.5,52.5,2.73,15.62,0.093,4143,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,17.7,19.406,32.4,16.7,1.8,80.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,1022.0,1022.1,5,100.0,0.0,2.4,90,1,1,40.6,59.4,52.5,52.5,2.84,13.67,1.000,5575,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,17.3,17.912,30.1,16.8,1.7,83.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1022.1,1022.1,3,100.0,0.0,1.3,86,1,2,45.0,55.0,52.5,52.5,2.54,9.38,0.393,6445,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,17.3,18.483,31.0,16.8,1.8,81.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1022.2,1022.2,2,100.0,0.0,2.3,104,2,1,41.7,58.3,52.5,52.5,3.02,19.53,0.037,5955,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,17.5,19.038,30.9,16.2,1.8,81.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,1022.1,1022.1,1,100.0,0.0,1.6,93,1,1,41.0,59.0,52.5,52.5,2.98,14.06,0.093,6036,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,17.5,19.039,31.5,16.5,1.8,81.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,1022.0,1022.0,4,100.0,0.0,1.1,93,1,1,42.1,57.9,52.5,52.5,3.09,11.72,1.000,6425,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,100000,15.7,15.915,28.1,17.7,1.8,84.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,1022.2,1022.2,2,100.0,0.0,0.8,80,1,1,43.5,56.5,52.5,52.5,2.71,10.16,0.393,6025,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,100000,17.4,18.453,31.5,17.0,1.8,81.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,1022.1,1022.1,2,100.0,0.0,0.9,98,2,3,41.3,58.7,52.5,52.5,2.82,15.62,0.039,6535,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,100000,17.2,20.118,31.9,15.9,1.9,81.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,1021.8,1021.8,6,100.0,0.0,1.8,96,1,1,42.3,57.7,52.5,52.5,3.21,21.09,0.037,5288,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,100000,17.0,17.255,29.9,17.3,1.8,83.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,1022.1,1022.1,1,100.0,0.0,0.9,83,1,1,44.3,55.7,52.5,52.5,2.62,9.77,0.393,6529,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,100000,16.4,19.765,30.5,15.4,1.9,81.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,1022.3,1022.3,5,100.0,0.0,2.1,96,1,1,38.4,61.6,52.5,52.5,3.01,26.17,0.393,4966,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,100000,19.2,19.840,34.4,17.3,1.8,81.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,1021.9,1021.9,11,100.0,0.0,1.2,93,1,1,45.3,54.7,52.5,52.5,2.97,10.55,0.393,6893,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
19,100000,16.9,19.991,31.5,15.8,1.9,81.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,1022.0,1022.1,4,100.0,0.0,1.3,111,2,2,41.6,58.4,52.5,52.5,3.01,15.23,0.037,5337,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,100000,17.5,17.983,28.8,16.0,1.6,83.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,1022.2,1022.2,2,100.0,0.0,1.5,84,1,1,41.6,58.4,52.5,52.5,2.41,10.94,0.093,5862,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
