# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,17.1,19.021,30.0,15.8,1.8,86.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,961.6,961.6,346,100.0,0.0,4.3,705,48,47,55.7,44.3,52.5,52.5,5.63,20.70,-1.000,1643,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,17.4,19.808,30.1,15.2,1.7,85.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,1020.5,1020.5,111,100.0,0.0,5.4,725,83,74,51.6,48.4,52.5,52.5,6.61,23.83,0.678,2194,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,15.8,18.016,27.5,15.3,1.7,86.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,1020.9,1020.9,71,100.0,0.0,5.6,763,92,70,50.7,49.3,52.5,52.5,5.74,25.00,0.883,2164,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,14.5,17.023,25.4,14.9,1.7,87.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,1021.6,1021.6,64,100.0,0.0,5.6,726,76,64,49.5,50.5,52.5,52.5,5.17,26.95,0.828,1957,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,15.8,17.950,27.4,15.3,1.7,86.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,1021.3,1021.3,66,100.0,0.0,6.1,806,87,74,50.6,49.4,52.5,52.5,5.13,21.09,0.665,2091,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,13.8,15.919,24.5,15.4,1.8,87.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,1021.5,1021.5,60,100.0,0.0,6.0,783,94,71,49.8,50.2,52.5,52.5,5.21,26.17,0.697,2044,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,15.3,17.115,26.5,15.5,1.7,86.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,1021.1,1021.1,69,100.0,0.0,6.2,807,83,64,49.4,50.6,52.5,52.5,5.63,28.52,0.778,2009,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,14.6,16.313,25.3,15.5,1.7,87.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,1021.5,1021.5,45,100.0,0.0,5.2,807,76,70,48.7,51.3,52.5,52.5,5.83,24.22,0.923,2056,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,14.6,16.326,25.7,15.7,1.8,86.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,1021.4,1021.4,76,100.0,0.0,5.0,826,85,53,48.8,51.2,52.5,52.5,5.58,24.22,0.618,2128,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,14.9,16.395,26.0,15.9,1.7,86.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1021.5,1021.5,79,100.0,0.0,5.9,831,85,52,49.2,50.8,52.5,52.5,5.25,18.75,0.601,2066,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,100000,12.6,14.166,22.7,16.0,1.8,88.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,1021.9,1021.9,30,100.0,0.0,5.0,809,95,71,49.8,50.2,52.5,52.5,4.74,17.19,0.911,1902,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,100000,12.9,14.595,23.1,15.8,1.8,88.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,1021.8,1021.8,43,100.0,0.0,5.7,841,86,63,48.5,51.5,52.5,52.5,4.70,21.09,0.872,1946,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,100000,14.5,16.365,25.3,15.4,1.7,87.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,1021.4,1021.4,55,100.0,0.0,6.7,886,87,67,49.2,50.8,52.5,52.5,6.05,24.22,0.648,1850,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,100000,16.2,18.127,28.3,15.6,1.7,85.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,1021.1,1021.1,92,100.0,0.0,6.9,927,106,60,47.9,52.1,52.5,52.5,5.55,19.14,0.635,2032,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,100000,15.6,17.551,27.0,15.4,1.7,86.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1021.2,1021.2,84,100.0,0.0,8.1,927,90,61,48.1,51.9,52.5,52.5,5.89,22.66,0.862,2007,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
