# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,9.9,4.268,11.9,27.9,1.2,94.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,1003.1,1003.2,9,100.0,0.0,0.2,147,9,4,53.8,46.2,52.5,52.5,5.57,38.67,-1.000,452,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,10.5,4.865,13.1,26.9,1.2,92.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,1022.6,1022.6,4,100.0,0.0,0.3,150,12,6,45.3,54.7,52.5,52.5,4.83,23.83,0.218,1139,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,11.4,5.588,15.5,27.7,1.4,90.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,1022.5,1022.6,1,100.0,0.0,0.2,162,13,7,38.4,61.6,52.5,52.5,6.45,23.44,0.242,1966,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,12.3,5.767,17.3,30.0,1.4,90.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,1021.2,1022.4,0,0.0,0.0,0.2,138,11,0,43.8,56.2,52.5,52.5,6.30,50.39,0.872,2994,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,10.2,4.652,13.2,28.3,1.3,92.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,1022.5,1022.7,1,100.0,0.0,0.3,150,13,5,41.5,58.5,52.5,52.5,5.77,24.22,0.136,2559,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,10.9,4.721,13.0,27.5,1.2,94.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,1022.5,1022.6,1,100.0,0.0,0.5,170,9,7,53.9,46.1,52.5,52.5,5.03,20.70,0.229,3004,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,11.0,4.987,13.6,27.2,1.2,92.6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,1022.5,1022.5,1,100.0,0.0,0.4,151,10,6,45.5,54.5,52.5,52.5,4.89,20.70,0.204,2859,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,11.6,5.271,15.3,29.1,1.3,91.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,1020.1,1022.4,3,100.0,0.0,0.3,188,16,11,44.1,55.9,52.5,52.5,6.57,52.73,0.192,2764,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,12.0,5.479,17.0,31.0,1.4,90.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1020.7,1022.6,1,100.0,0.0,0.3,132,9,2,42.8,57.2,52.5,52.5,6.43,48.05,0.128,3359,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000

