# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg
0,100000,11.1,22.952,18.2,7.9,1.6,92.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,1006.5,1006.5,29,100.0,0.0,1.8,318,85,64,56.1,43.9,52.5,52.5,4.76,33.20,-1.000,406,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,100000,7.5,15.598,12.0,7.7,1.6,94.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,1022.6,1022.6,7,100.0,0.0,3.0,183,83,39,52.9,47.1,52.5,52.5,4.14,23.05,0.266,458,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,100000,9.5,20.111,14.5,7.2,1.5,93.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,1022.4,1022.5,8,100.0,0.0,4.9,212,73,25,55.0,45.0,52.5,52.5,4.26,25.78,0.318,343,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,100000,11.5,23.475,19.3,8.2,1.7,91.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,1021.7,1021.7,30,100.0,0.0,4.1,326,260,79,55.9,44.1,52.5,52.5,4.47,44.14,0.041,684,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,100000,8.0,14.934,14.1,9.4,1.8,93.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1022.5,1022.5,15,100.0,0.0,6.9,315,308,89,53.8,46.2,52.5,52.5,4.55,20.31,0.706,1016,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,100000,6.5,12.145,11.6,9.5,1.8,94.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,1022.4,1022.4,15,100.0,0.0,6.9,362,306,86,52.9,47.1,52.5,52.5,4.47,33.20,0.697,943,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,100000,6.6,12.251,11.7,9.5,1.8,94.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,1022.4,1022.4,18,100.0,0.0,7.2,367,322,92,51.5,48.5,52.5,52.5,4.46,23.83,0.625,1012,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,100000,5.6,11.058,9.7,8.8,1.7,95.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1022.6,1022.6,10,100.0,0.0,6.3,316,245,85,49.6,50.4,52.5,52.5,3.93,29.69,0.626,736,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,100000,9.3,18.753,14.9,8.0,1.6,92.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,1020.9,1020.9,82,100.0,0.0,7.5,380,122,61,48.6,51.4,52.5,52.5,4.31,35.55,0.070,389,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,100000,7.1,14.539,11.1,7.6,1.6,94.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,1022.7,1022.7,10,100.0,0.0,5.9,161,83,28,47.9,52.1,52.5,52.5,3.44,18.36,0.154,631,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
