# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg,trace_count
0,100000,10.9625,15.1960,17.9625,17.6750,1.6250,92.1750,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.7750,991.0250,991.0375,105.5000,87.5000,0.0000,1.4500,314.5000,66.1250,31.6250,61.0000,39.0000,46.2500,52.5000,4.0238,30.6138,-1.0000,881.6250,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
1,100000,9.9625,12.8149,16.0375,21.2000,1.5250,92.2625,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.7875,1022.1875,1022.1875,19.6250,87.5000,0.0000,2.1250,308.8750,99.2500,37.2500,56.1125,43.8875,44.3750,51.8750,3.8963,23.1950,0.6291,1436.7500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
2,100000,9.8750,12.3065,15.9625,21.3000,1.5375,91.9625,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4375,1022.2875,1022.3125,14.3750,87.5000,0.0000,2.4750,310.7500,71.1250,29.8750,55.5750,44.4250,43.7500,51.8750,3.7163,20.2638,0.6190,1804.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
3,100000,10.9429,14.7493,18.1429,14.0143,1.6286,90.7857,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.7714,1022.0857,1022.2571,17.1429,85.7143,0.0000,2.9286,370.1429,125.5714,45.5714,50.3000,49.7000,51.0714,52.5000,4.1600,27.5100,0.6230,2128.4286,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
4,100000,9.7714,12.2526,16.1286,14.1000,1.6143,91.7429,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9714,1022.3429,1022.3714,16.4286,85.7143,0.0000,3.4000,374.4286,137.5714,48.1429,50.1286,49.8714,47.5000,52.5000,3.8471,19.7543,0.5864,2172.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
5,100000,9.2857,11.4207,15.2857,14.1286,1.6143,92.3000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9286,1022.3714,1022.3857,14.5714,100.0000,0.0000,3.2857,376.2857,124.0000,44.4286,51.4571,48.5429,49.6429,52.5000,3.8886,22.5443,0.6713,2327.8571,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
6,100000,9.7714,12.0113,16.1857,13.8571,1.6000,91.4571,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9857,1022.3286,1022.3286,15.7143,100.0000,0.0000,3.6429,390.2857,145.0000,47.7143,49.2429,50.7571,48.2143,52.5000,3.8500,21.0400,0.5720,2214.2857,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
7,100000,9.3857,12.0814,15.6286,13.7000,1.6286,91.2429,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6429,1022.0714,1022.4286,12.1429,100.0000,0.0000,3.6429,377.7143,115.1429,44.8571,46.5429,53.4571,48.9286,52.5000,4.0443,25.6129,0.6073,1786.2857,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
8,100000,10.1571,12.9067,16.9000,14.2286,1.6143,90.8286,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1857,1021.8143,1022.1000,26.0000,85.7143,0.0000,4.1429,373.1429,102.4286,40.2857,47.4857,52.5143,48.9286,52.5000,4.0114,25.1686,0.5907,1990.5714,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
9,100000,9.7667,13.9368,16.3000,11.5000,1.6333,91.5167,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1500,1022.3667,1022.3667,20.3333,100.0000,0.0000,4.2000,401.0000,129.6667,45.5000,48.8000,51.2000,49.1667,52.5000,3.4517,15.8217,0.5003,2047.3333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
