# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg,trace_count
0,100000,10.9250,15.2157,17.8875,17.7125,1.6250,92.3125,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.7625,991.3125,991.3250,110.5000,100.0000,0.0000,0.4000,244.2500,65.6250,31.6250,61.4750,38.5250,46.2500,52.5000,4.1513,29.5400,-1.0000,822.2500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
1,100000,10.1500,12.7670,16.2875,21.2375,1.5250,92.3125,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9375,1022.1875,1022.2000,18.8750,87.5000,0.0000,0.7750,237.1250,99.0000,37.2500,55.2000,44.8000,43.7500,51.8750,3.8962,25.3912,0.6291,1403.7500,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
2,100000,10.1375,12.3291,16.3250,21.2750,1.5250,91.8875,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8625,1022.2000,1022.2625,15.8750,87.5000,0.0000,1.0500,243.5000,72.3750,29.8750,55.0625,44.9375,41.8750,51.8750,3.7450,21.2900,0.6190,1935.6250,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
3,100000,11.0571,14.7881,18.3143,13.9857,1.6286,90.6571,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0571,1022.1429,1022.2714,17.4286,100.0000,0.0000,1.5000,278.5714,120.7143,45.5714,50.1143,49.8857,49.6429,52.5000,4.2714,27.0643,0.6230,2218.1429,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
4,100000,10.3857,12.6776,17.0143,14.0429,1.6143,91.3857,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7857,1022.2571,1022.3143,15.5714,85.7143,0.0000,1.7714,293.5714,138.8571,48.1429,50.4143,49.5857,46.7857,52.5000,3.9771,22.9900,0.5864,2490.7143,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
5,100000,9.6429,11.7044,15.8286,14.0429,1.6143,91.8857,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.5429,1022.3857,1022.4000,16.2857,85.7143,0.0000,1.7714,296.1429,123.8571,44.4286,50.6286,49.3714,48.2143,52.5000,4.0300,21.4857,0.6713,2492.4286,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
6,100000,9.6571,11.8186,16.0000,13.8429,1.6000,91.3857,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8571,1022.4000,1022.4000,14.7143,85.7143,0.0000,1.9286,307.1429,141.7143,47.7143,47.1286,52.8714,46.7857,52.5000,3.9771,21.1500,0.5720,2288.1429,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
7,100000,9.3429,11.8576,15.5857,13.6857,1.6143,91.2571,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0286,1022.3714,1022.3857,11.4286,71.4286,0.0000,1.9429,302.5714,112.1429,44.8571,45.6429,54.3571,47.5000,52.5000,3.8943,22.1543,0.6073,1886.2857,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
8,100000,10.1429,12.8383,16.9571,14.2571,1.6286,90.9143,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7143,1022.0714,1022.1143,27.5714,100.0000,0.0000,2.1143,290.2857,104.4286,40.2857,47.1714,52.8286,47.5000,52.5000,4.1143,24.4414,0.5907,2035.7143,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7
9,100000,9.9333,13.9630,16.5167,11.4667,1.6333,91.3333,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3000,1022.3833,1022.3833,17.0000,100.0000,0.0000,2.3667,321.5000,133.3333,45.5000,47.8333,52.1667,46.6667,52.5000,3.4617,16.1467,0.5003,2128.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
10,100000,9.8167,14.1365,17.0000,11.7333,1.6833,91.1000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.8333,1022.3667,1022.3833,14.8333,83.3333,0.0000,2.3167,317.8333,101.0000,38.8333,48.4667,51.5333,50.0000,52.5000,3.6300,22.3317,0.4715,2099.1667,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
11,100000,10.1500,14.5827,17.2333,11.6500,1.6667,90.8667,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.0500,1022.3667,1022.3833,15.5000,83.3333,0.0000,2.5667,342.5000,155.8333,53.5000,47.5000,52.5000,51.6667,52.5000,3.7133,24.8683,0.7077,2257.8333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
12,100000,9.7000,13.7658,16.4167,11.4167,1.6500,91.1000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1500,1022.3167,1022.3167,19.3333,100.0000,0.0000,2.4667,348.0000,127.8333,48.0000,46.6500,53.3500,52.5000,52.5000,3.7017,23.2417,0.7837,2188.3333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
13,100000,9.7167,13.2887,16.7500,12.0833,1.7667,90.9000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.4500,1022.3667,1022.3667,19.0000,100.0000,0.0000,2.0667,331.3333,109.3333,39.3333,45.9500,54.0500,46.6667,52.5000,3.5017,19.8567,0.5995,2185.1667,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
14,100000,10.0500,14.5882,17.4333,11.5167,1.6833,90.6500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.2500,1022.1167,1022.1167,38.5000,66.6667,0.0000,2.6000,351.1667,161.3333,55.0000,47.1667,52.8333,48.3333,52.5000,3.9050,19.6600,0.5330,2097.8333,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6
